Full Path,Name,URL
21財務管理/21.02陳業寧,21.02陳業寧,https://drive.google.com/drive/folders/1SiNWHuD3o9uYgirba_V5tzBcbKd2NVE_
21財務管理/21.02陳業寧/期中考,期中考,https://drive.google.com/drive/folders/1Dwo9z8XwZ04scem0fum8afJePMnFMfTT
21財務管理/21.02陳業寧/期中考/110上陳業寧財管期中考題目.pdf,110上陳業寧財管期中考題目.pdf,https://drive.google.com/file/d/1-qrAY-d9vEJ5fE51lOXY7sKb-dr6lffq/view?usp=drivesdk
21財務管理/21.02陳業寧/期中考/108上陳業寧財管期中考題目與解答.pdf,108上陳業寧財管期中考題目與解答.pdf,https://drive.google.com/file/d/1S2oR4NgCSGgHtd2wfZtsmqmI17Ha6Aj6/view?usp=drivesdk
21財務管理/21.02陳業寧/期中考/109上陳業寧財管期中考題目與解答.pdf,109上陳業寧財管期中考題目與解答.pdf,https://drive.google.com/file/d/1ZntnBkbdTTwJIoxM2eKaez5mUaLDc4P8/view?usp=drivesdk
21財務管理/21.01陳明賢,21.01陳明賢,https://drive.google.com/drive/folders/1uK6Plk_Csas2_pV9gLSQrYvLC3mNNkl1
21財務管理/21.01陳明賢/100上陳明賢財管期中考.pdf,100上陳明賢財管期中考.pdf,https://drive.google.com/file/d/10QBnKIYpwQ71ge-VWMTVTVG2sxrjSDXC/view?usp=drivesdk
21財務管理/21.01陳明賢/100上陳明賢財管期末考.pdf,100上陳明賢財管期末考.pdf,https://drive.google.com/file/d/1WZDdk7o4XIaMQ-y68zHtPsLyeuAwjUES/view?usp=drivesdk
