Full Path,Name,URL
22投資學/22.03陳聖賢/上課講義/Topic 7.pptx,Topic 7.pptx,https://docs.google.com/presentation/d/1xeJyCu55F1Bg35WOO4oHyw3MFuB3IiZS/edit?usp=drivesdk&ouid=104593913508749097947&rtpof=true&sd=true
22投資學/22.03陳聖賢/上課講義/topic 9 (supplement).ppt,topic 9 (supplement).ppt,https://docs.google.com/presentation/d/1gxMYYvnDgvVTr5olPYjC0BBYksqutcKR/edit?usp=drivesdk&ouid=104593913508749097947&rtpof=true&sd=true
22投資學/22.03陳聖賢/上課講義/Topic 8.pptx,Topic 8.pptx,https://docs.google.com/presentation/d/1-iGP5CR1FtkXje_c_QL2rjpysVjUqPqR/edit?usp=drivesdk&ouid=104593913508749097947&rtpof=true&sd=true
22投資學/22.03陳聖賢/上課講義/Topic 7(supplement).xlsx,Topic 7(supplement).xlsx,https://docs.google.com/spreadsheets/d/1WyvAqi7PH4c7upAdZIhb-swYOWa38N-a/edit?usp=drivesdk&ouid=104593913508749097947&rtpof=true&sd=true
22投資學/22.03陳聖賢/上課講義/Topic 5.pptx,Topic 5.pptx,https://docs.google.com/presentation/d/1CNyWk9IflUWEy-3THe_YBB5xHtYCggbR/edit?usp=drivesdk&ouid=104593913508749097947&rtpof=true&sd=true
22投資學/22.03陳聖賢/上課講義/Topic 4 (supplement).pptx,Topic 4 (supplement).pptx,https://docs.google.com/presentation/d/1pn1-De6TjbTfGvzxwQ8OGbStyRMBuSRA/edit?usp=drivesdk&ouid=104593913508749097947&rtpof=true&sd=true
22投資學/22.03陳聖賢/上課講義/Topic 3 (supplement).pptx,Topic 3 (supplement).pptx,https://docs.google.com/presentation/d/1q1K1RDdYlKIx1WgCY5QoCz0gZLCkhlsQ/edit?usp=drivesdk&ouid=104593913508749097947&rtpof=true&sd=true
22投資學/22.03陳聖賢/上課講義/Topic 3.pptx,Topic 3.pptx,https://docs.google.com/presentation/d/1iW0Jil0yc2QkY4Y5FmxN2y5JFOdxWU-j/edit?usp=drivesdk&ouid=104593913508749097947&rtpof=true&sd=true
22投資學/22.03陳聖賢/上課講義/Topic 2.pptx,Topic 2.pptx,https://docs.google.com/presentation/d/1Hch-VGLkGki0SkzsC1dkwDVjtO5epWuA/edit?usp=drivesdk&ouid=104593913508749097947&rtpof=true&sd=true
22投資學/22.03陳聖賢/上課講義/Topic 1.pptx,Topic 1.pptx,https://docs.google.com/presentation/d/1PRAweFiwAKqEJygp1cRr9sjyPXeM0-Ki/edit?usp=drivesdk&ouid=104593913508749097947&rtpof=true&sd=true
22投資學/22.03陳聖賢/上課講義/Topic 10.pptx,Topic 10.pptx,https://docs.google.com/presentation/d/1G_6POKPY6CorJP2yAcUGmWS4BkRuisCN/edit?usp=drivesdk&ouid=104593913508749097947&rtpof=true&sd=true
