Full Path,Name,URL
51計量經濟學/34.02劉錦添,34.02劉錦添,https://drive.google.com/drive/folders/1N-2qFFW96In_Xm9jdwCgJ129n-xn4918
51計量經濟學/34.01江淳芳,34.01江淳芳,https://drive.google.com/drive/folders/1U47XfUizLujFD7gFaHaeBNoQ5rWQyqES
51計量經濟學/34.01江淳芳/期初考,期初考,https://drive.google.com/drive/folders/1KxQtoRUpX9R5g8KRYbTZ86QV8BuelGdY
51計量經濟學/34.01江淳芳/期初考/112-1_江淳芳_計量經濟學_期初考_題目及答案.pdf,112-1_江淳芳_計量經濟學_期初考_題目及答案.pdf,https://drive.google.com/file/d/1I5548NeT5y98segzeQmLFXVZmPD_pbBP/view?usp=drivesdk
51計量經濟學/34.01江淳芳/期初考/113-1_江淳芳_計量經濟學_期初考_題目及答案.pdf,113-1_江淳芳_計量經濟學_期初考_題目及答案.pdf,https://drive.google.com/file/d/1nT-msIGaM_3YyEAAPRu21lMUFRcgFgSX/view?usp=drivesdk
51計量經濟學/34.01江淳芳/期初考/111-1_江淳芳_計量經濟學_期初考_題目.pdf,111-1_江淳芳_計量經濟學_期初考_題目.pdf,https://drive.google.com/file/d/1jFcVOL2GqW4Ve7uaNVx_JiuPgwfELJkV/view?usp=drivesdk
51計量經濟學/34.01江淳芳/期中考,期中考,https://drive.google.com/drive/folders/1SLiMOol69Yag_PsQ93mfffwxoQhYD-G4
51計量經濟學/34.01江淳芳/期中考/107-1_江淳芳_計量經濟學一_期中考_題目及答案.pdf,107-1_江淳芳_計量經濟學一_期中考_題目及答案.pdf,https://drive.google.com/file/d/13vK_OWo2vcRBfDxAOOCrwJa90I4J9Teh/view?usp=drivesdk
51計量經濟學/34.01江淳芳/期中考/108-1_江淳芳_計量經濟學一_期中考_題目及答案(Q1 數字有誤，會使 (d), (e), (f) 無法算出 ).pdf,108-1_江淳芳_計量經濟學一_期中考_題目及答案(Q1 數字有誤，會使 (d), (e), (f) 無法算出 ).pdf,https://drive.google.com/file/d/1_roWgZ9ADXt5u0QFYOGH4yX_2vHQu3Qh/view?usp=drivesdk
51計量經濟學/34.01江淳芳/期中考/110-1_江淳芳_計量經濟學一_期中考_題目及答案.pdf,110-1_江淳芳_計量經濟學一_期中考_題目及答案.pdf,https://drive.google.com/file/d/1worCFpM0d_3x1jAv_zbeQOLLDCarsmuy/view?usp=drivesdk
51計量經濟學/34.01江淳芳/期中考/111-1_江淳芳_計量經濟學一_期中考_題目及答案.pdf,111-1_江淳芳_計量經濟學一_期中考_題目及答案.pdf,https://drive.google.com/file/d/1ne0GuvszriAFPu6wrrsfm_fmHve3zVzc/view?usp=drivesdk
51計量經濟學/34.01江淳芳/期中考/113-1_江淳芳_計量經濟學一_期中考_題目及答案.pdf,113-1_江淳芳_計量經濟學一_期中考_題目及答案.pdf,https://drive.google.com/file/d/1j0MwXSSqahYGn6cp12Vczo0ivC2Ivr16/view?usp=drivesdk
51計量經濟學/34.01江淳芳/期末考,期末考,https://drive.google.com/drive/folders/1kLkBDKiyrGRyWUfD1-gXDfdMkzba0CBL
51計量經濟學/34.01江淳芳/期末考/110上江淳芳計量經濟學期末考題目及解答.pdf,110上江淳芳計量經濟學期末考題目及解答.pdf,https://drive.google.com/file/d/1XftmBY9zS6oIrYoK1mtMiPBTJ11tep7h/view?usp=drivesdk
