Full Path,Name,URL
08財政學/8.03李顯峰/期末考,期末考,https://drive.google.com/drive/folders/1PCOQt7oDd3OkCx18N0ucM1G23eW-YZEB
08財政學/8.03李顯峰/期末考/112-2_李顯峰_財政學_期末考.pdf,112-2_李顯峰_財政學_期末考.pdf,https://drive.google.com/file/d/1K6BmfJ-55IkV2HTJvLjHRtY0fAGnmA6A/view?usp=drivesdk
08財政學/8.03李顯峰/期中考,期中考,https://drive.google.com/drive/folders/1FIEUWH2QbNIX5ccJ9wkG-3ua-mPdaw1D
08財政學/8.03李顯峰/期中考/112-2_李顯峰_財政學_期中考.pdf,112-2_李顯峰_財政學_期中考.pdf,https://drive.google.com/file/d/1xM8ZgUEqHpvlh414s98JPRI0Dl5MQz4j/view?usp=drivesdk
08財政學/8.01林全,8.01林全,https://drive.google.com/drive/folders/1gaqiElDBWud6rD19Uaaye92pqWZfsFge
08財政學/8.01林全/下學期期中考(102以前),下學期期中考(102以前),https://drive.google.com/drive/folders/10fSvXm7Nu6LC3I7OJOD_mgYM1-5gzOPO
08財政學/8.01林全/下學期期中考(102以前)/97~101下林全財政學參考解答.pdf,97~101下林全財政學參考解答.pdf,https://drive.google.com/file/d/1b3n13fcks0UOW5lt1SBhpOBeA2ziXcS0/view?usp=drivesdk
08財政學/8.01林全/下學期期中考(102以前)/97~101下林全財政學期中考.pdf,97~101下林全財政學期中考.pdf,https://drive.google.com/file/d/1ub3x8oF9tRF3vVoi2BWD07Ryhjx2XXRQ/view?usp=drivesdk
08財政學/8.01林全/上學期期中考,上學期期中考,https://drive.google.com/drive/folders/1GDiQ5_Hg8q_pGTAML4TjKG3tl3R-Z7Gf
08財政學/8.01林全/上學期期中考/103學年度上學期期中考.pdf,103學年度上學期期中考.pdf,https://drive.google.com/file/d/1GuhWWh7h2_cZp3E94vTrzlISCHHZksuW/view?usp=drivesdk
08財政學/8.01林全/上學期期中考/102上林全財政期中考與解答.pdf,102上林全財政期中考與解答.pdf,https://drive.google.com/file/d/1OoVI3PJod-AMCZTtx6dPxV4H4WpsfXTd/view?usp=drivesdk
08財政學/8.01林全/上學期期中考/101~97上林全財政學計算題參考解答.pdf,101~97上林全財政學計算題參考解答.pdf,https://drive.google.com/file/d/1W-yL-0qHDQy9uDTMaQ8NRpoRZS29jGxB/view?usp=drivesdk
08財政學/8.01林全/上學期期中考/96~101上林全財政期中考.pdf,96~101上林全財政期中考.pdf,https://drive.google.com/file/d/1tfka-lILR3mKFzgOD8CV18IvPBPKvtxh/view?usp=drivesdk
08財政學/8.01林全/上學期期末考,上學期期末考,https://drive.google.com/drive/folders/1LKXFToDBFxbc3aG0k59g_UMFfAvIYL21
08財政學/8.01林全/上學期期末考/96~101上林全財政期末考.pdf,96~101上林全財政期末考.pdf,https://drive.google.com/file/d/1Pw7OR5EJGRlCPnrlYeCChQ-PeKmMTxc0/view?usp=drivesdk
08財政學/8.01林全/上學期期末考/103上林全財政學期末考.pdf,103上林全財政學期末考.pdf,https://drive.google.com/file/d/1jDwhdNoOTygA6BTbajCrLkrCr19JrV0Q/view?usp=drivesdk
08財政學/8.01林全/下學期期末考,下學期期末考,https://drive.google.com/drive/folders/1oEvIHusCmvnqbyPa0qDvydFXExW6Inmo
08財政學/8.01林全/下學期期末考/100~95林全財政期末考考題.pdf,100~95林全財政期末考考題.pdf,https://drive.google.com/file/d/1PCt4J3QLHN5BUA1niF5_tMde2pFbGdfv/view?usp=drivesdk
08財政學/8.01林全/筆記,筆記,https://drive.google.com/drive/folders/1v751BFXKMYyoB99axhcgymAqU3F2rNVV
08財政學/8.01林全/筆記/97全林全財政筆記.pdf,97全林全財政筆記.pdf,https://drive.google.com/file/d/18h1NCCRpgX8KM2bfH6_YceKuFZbf4Lke/view?usp=drivesdk
08財政學/8.01林全/課程評價,課程評價,https://drive.google.com/drive/folders/1yQE9rAk-eoZvHUxWnwcP8odZsxrnwoOs
08財政學/8.01林全/課程評價/財政學-林全.pdf,財政學-林全.pdf,https://drive.google.com/file/d/1gRONQ3ah2hwlsDgobqj52sdNT5mEVWxs/view?usp=drivesdk
08財政學/8.01林全/課程評價/課程ptt評價財政學-林全.pdf,課程ptt評價財政學-林全.pdf,https://drive.google.com/file/d/13I8Eq8Dq4AJu1NTXcaQMxi-XBNN2oOo5/view?usp=drivesdk
